Product Name,Region,Warehouse ID,Date,Business Unit,Strategic Initiative,Revenue,Expenses,Net Profit,ROI (%),Cost per Unit,Inventory Units,Carrying Cost Rate,Inventory Carrying Cost,Logistics Spend,Automation Investment,Automation Savings,ROI on Automation (%),Risk Category,Risk Score,Risk Status,Order Fulfillment Rate (%),Avg Delivery Time (Days),Network Efficiency Score,Carbon Emission (kg),Emission per Order (kg),Renewable Energy Usage (%),Waste Reduction (%),Initiative Impact Score,Projected Growth (%)
Levi's Jeans,North,WH_2,2025-04-05,Consumer Goods,Last-Mile Optimization,76282.41,53236.77,23045.640000000007,43.29,447.17,812,13.86,50325.94,2413.17,2780.21,268.38,9.65,High,1.24,Stable,95.38,5.36,82.59,1623.02,2.0,42.26,53.47,87.94,7.39
LEGO Set,East,WH_4,2025-05-04,Electronics,Warehouse Automation,18347.13,6290.89,12056.240000000002,191.65,425.27,2266,17.11,164882.54,11486.51,11188.33,2736.92,24.46,Medium,1.71,Watchlist,97.03,4.9,95.85,1943.38,0.86,76.37,12.29,61.39,9.34
Nike T-Shirt,South,WH_3,2025-05-21,Consumer Goods,Demand Forecasting,85069.94,18023.7,67046.24,371.99,184.08,2287,15.53,65379.9,10886.12,2356.65,417.12,17.7,High,7.56,Stable,91.7,2.98,97.76,2220.4,0.97,37.57,26.21,88.42,5.84
Samsung Galaxy S22,East,WH_3,2025-04-30,Home Essentials,Last-Mile Optimization,94861.87,83752.03,11109.839999999997,13.27,164.19,4189,10.93,75175.66,13889.12,9718.19,1000.74,10.3,Low,7.7,Critical,88.81,4.72,96.93,1498.5,0.36,37.55,59.88,75.48,6.36
LEGO Set,North,WH_2,2025-06-14,Electronics,Warehouse Automation,63676.81,27576.92,36099.89,130.91,301.99,3934,12.94,153730.91,14624.02,17354.81,907.59,5.23,High,2.03,Critical,95.89,5.73,80.21,1233.75,0.31,32.65,10.16,86.1,15.8
Barbie Doll,South,WH_2,2025-06-17,Consumer Goods,Last-Mile Optimization,64807.32,14140.91,50666.41,358.3,383.63,4518,19.3,334515.39,13991.64,18451.38,3132.84,16.98,Medium,1.18,Watchlist,97.74,6.07,79.23,644.81,0.14,90.24,57.35,54.28,12.29
Bookshelf,South,WH_1,2025-04-09,Electronics,Demand Forecasting,57490.64,36840.5,20650.14,56.05,482.54,4517,16.33,355934.1,10968.28,14546.03,1888.05,12.98,High,6.85,Watchlist,98.04,3.98,77.44,660.06,0.15,21.68,37.7,79.42,5.11
Hot Wheels Car,North,WH_4,2025-04-28,Electronics,Green Logistics,39738.56,22861.04,16877.519999999997,73.83,146.45,4076,8.21,49007.97,3720.05,18774.77,3082.98,16.42,Medium,3.19,Watchlist,96.71,2.55,72.91,1577.63,0.39,53.89,33.35,86.45,15.1
Tomato Ketchup,North,WH_3,2025-05-26,Consumer Goods,Demand Forecasting,87550.53,25526.71,62023.82,242.98,103.2,3775,7.1,27660.18,4385.34,9789.93,2201.73,22.49,Low,4.99,Critical,86.42,5.09,86.22,536.89,0.14,27.46,47.68,61.82,11.1
IKEA Chair,West,WH_3,2025-04-13,Consumer Goods,Warehouse Automation,33868.28,27634.77,6233.509999999998,22.56,232.95,3565,15.45,128307.11,11496.57,15883.87,2896.81,18.24,Medium,2.39,Watchlist,88.16,1.82,92.07,652.39,0.18,45.09,12.51,73.84,18.79
Samsung Galaxy S22,North,WH_1,2025-06-03,Consumer Goods,Warehouse Automation,70769.13,20469.16,50299.97,245.74,68.74,4766,8.69,28469.73,9728.75,12768.25,1708.97,13.38,High,6.09,Watchlist,98.55,2.62,91.49,1096.71,0.23,51.66,43.58,65.0,9.74
Corn Flakes,North,WH_4,2025-06-04,Consumer Goods,Demand Forecasting,16593.46,7471.2,9122.259999999998,122.1,139.95,2959,18.21,75409.8,13430.51,8021.01,654.11,8.15,High,7.33,Critical,99.27,5.94,85.87,2169.66,0.73,64.37,56.59,55.18,18.17
Nike T-Shirt,North,WH_4,2025-06-07,Electronics,Last-Mile Optimization,74585.1,19167.34,55417.76000000001,289.13,320.78,2262,12.58,91281.03,5264.58,18255.02,1098.22,6.02,High,4.81,Watchlist,85.64,3.33,73.92,2949.49,1.3,32.93,32.09,85.28,13.41
Corn Flakes,South,WH_2,2025-06-05,Consumer Goods,Last-Mile Optimization,48680.8,6827.12,41853.68,613.05,188.68,426,18.48,14853.8,4730.99,5741.07,405.08,7.06,High,8.96,Watchlist,99.12,5.62,97.77,1091.84,2.56,33.0,49.99,58.85,11.18
Nike T-Shirt,East,WH_2,2025-04-26,Home Essentials,Warehouse Automation,73115.04,31056.84,42058.2,135.42,28.98,3955,8.34,9558.97,12615.63,9745.76,1082.15,11.1,Low,3.01,Critical,87.8,3.31,95.93,2917.22,0.74,42.33,42.07,69.98,19.72
Sony Headphones,North,WH_2,2025-06-09,Consumer Goods,Last-Mile Optimization,13443.15,10036.94,3406.209999999999,33.94,179.39,2669,11.55,55300.47,14795.07,3197.27,735.06,22.99,Low,3.29,Critical,91.32,4.36,94.2,2217.14,0.83,95.22,46.85,59.85,11.47
Tomato Ketchup,East,WH_2,2025-05-17,Fashion,Green Logistics,37835.62,18409.83,19425.79,105.52,207.18,2522,13.32,69598.06,4493.92,13633.66,1715.51,12.58,High,9.13,Critical,93.25,3.73,95.01,1259.69,0.5,36.81,49.29,80.33,9.83
Pasta,South,WH_3,2025-04-10,Home Essentials,Warehouse Automation,56390.68,37527.26,18863.42,50.27,174.24,2024,15.09,53216.66,4920.33,4783.47,262.54,5.49,Low,9.86,Critical,97.32,1.9,82.43,2074.41,1.02,35.55,44.82,74.72,8.66
Levi's Jeans,North,WH_2,2025-04-26,Consumer Goods,Demand Forecasting,96216.94,52246.52,43970.420000000006,84.16,34.61,2141,18.76,13901.16,3577.66,3533.44,505.03,14.29,High,9.89,Critical,89.6,5.65,83.28,2537.52,1.19,91.36,31.34,95.34,11.69
LEGO Set,West,WH_2,2025-04-27,Home Essentials,Last-Mile Optimization,67389.53,52778.76,14610.769999999997,27.68,265.44,2059,9.12,49844.54,3007.28,6428.83,670.8,10.43,Medium,9.04,Stable,87.01,2.77,90.82,2266.05,1.1,25.14,30.38,77.13,11.24
Tomato Ketchup,West,WH_3,2025-04-28,Home Essentials,Sustainable Packaging,89259.1,53507.15,35751.950000000004,66.82,243.72,2981,9.48,68874.98,7069.83,17941.19,3895.85,21.71,High,7.73,Critical,96.6,6.44,84.65,1182.34,0.4,58.85,29.44,83.44,16.97
Bookshelf,West,WH_2,2025-04-30,Electronics,Sustainable Packaging,45461.82,27836.33,17625.489999999998,63.32,23.28,3611,7.04,5918.11,8002.08,1955.41,246.03,12.58,Low,5.09,Watchlist,96.04,3.59,92.56,2579.81,0.71,40.18,14.1,50.97,13.09
LEGO Set,East,WH_2,2025-06-02,Electronics,Green Logistics,77880.99,74208.64,3672.350000000006,4.95,107.69,266,14.32,4102.04,5101.08,9997.66,728.61,7.29,Low,5.19,Watchlist,96.12,2.42,88.22,2369.81,8.91,2.88,50.97,98.24,6.62
Samsung Galaxy S22,West,WH_2,2025-06-23,Home Essentials,Warehouse Automation,84751.45,24367.59,60383.86,247.8,351.62,2570,17.75,160400.25,9805.35,3300.05,814.35,24.68,Low,4.12,Watchlist,94.59,1.88,89.43,531.63,0.21,53.6,34.51,71.68,10.43
Sony Headphones,West,WH_2,2025-06-17,Electronics,Demand Forecasting,96892.64,29818.58,67074.06,224.94,406.02,4508,16.62,304202.2,8043.36,16688.96,2812.01,16.85,Medium,8.67,Stable,89.04,3.98,92.51,1924.62,0.43,73.46,26.82,74.72,9.88
Nike T-Shirt,East,WH_3,2025-06-23,Fashion,Last-Mile Optimization,89209.66,51802.97,37406.69,72.21,263.15,1665,6.28,27515.49,11360.97,10282.98,2073.39,20.16,High,5.28,Critical,92.12,5.86,72.79,1053.99,0.63,75.34,25.31,79.08,12.1
Tomato Ketchup,West,WH_2,2025-05-09,Fashion,Last-Mile Optimization,37596.07,12514.63,25081.440000000002,200.42,363.43,2684,6.79,66232.79,8966.23,15481.6,1347.36,8.7,Low,7.65,Watchlist,95.51,6.87,23.8,1207.5,0.45,28.04,19.71,61.37,7.69
Nike T-Shirt,North,WH_3,2025-06-05,Consumer Goods,Sustainable Packaging,67408.27,51980.46,15427.810000000005,29.68,60.27,200,13.61,1640.55,8102.16,9368.91,813.9,8.69,Low,3.27,Watchlist,86.65,1.86,84.75,1942.55,9.71,74.92,17.59,90.56,19.24
LEGO Set,South,WH_3,2025-05-20,Consumer Goods,Sustainable Packaging,63651.42,41271.11,22380.309999999998,54.23,390.09,3216,11.76,147532.66,7755.37,17343.17,4301.21,24.8,Medium,6.12,Stable,93.84,5.57,98.43,1019.47,0.32,36.88,43.02,57.85,7.61
Tomato Ketchup,North,WH_1,2025-06-16,Home Essentials,Demand Forecasting,36213.34,12225.15,23988.189999999995,196.22,356.41,3819,6.07,82620.58,5034.51,6026.54,1255.02,20.82,High,6.95,Stable,91.16,4.5,89.43,2771.03,0.73,86.13,13.57,58.3,9.61
Wooden Table,East,WH_3,2025-06-10,Home Essentials,Green Logistics,72976.03,69079.39,3896.6399999999994,5.64,255.23,4145,11.57,122402.31,9774.48,17899.03,3524.44,19.69,High,3.25,Stable,88.32,5.21,95.82,1967.81,0.47,21.66,48.24,91.07,13.64
Pasta,South,WH_2,2025-05-30,Home Essentials,Sustainable Packaging,35034.09,34942.35,91.73999999999796,0.26,223.58,4128,19.54,180342.13,8110.14,8758.61,1000.34,11.42,Low,8.72,Watchlist,90.97,4.23,89.88,1501.13,0.36,80.84,11.83,54.4,8.79
Wooden Table,West,WH_1,2025-05-02,Consumer Goods,Sustainable Packaging,26882.43,12916.61,13965.82,108.12,380.66,3721,16.4,232295.48,4646.26,11435.17,2693.38,23.55,Medium,8.93,Watchlist,86.76,6.85,88.27,1098.24,0.3,32.67,37.54,77.61,6.4
Pasta,North,WH_4,2025-04-16,Home Essentials,Green Logistics,93938.78,30957.81,62980.97,203.44,355.65,3503,17.52,218271.51,14743.18,5630.89,902.37,16.03,Medium,2.72,Critical,92.37,6.34,95.92,1190.62,0.34,83.2,30.75,96.71,12.62
Corn Flakes,East,WH_4,2025-06-16,Fashion,Sustainable Packaging,87873.45,42006.92,45866.53,109.19,247.33,2823,13.28,92722.63,9064.59,9651.55,1103.71,11.44,Low,9.83,Stable,93.29,2.78,93.27,609.12,0.22,79.58,45.26,90.57,10.79
Sony Headphones,South,WH_4,2025-06-19,Home Essentials,Green Logistics,39879.52,8500.67,31378.85,369.13,424.07,916,12.89,50070.96,7940.06,14726.43,1943.83,13.2,High,9.73,Stable,91.81,6.83,80.16,2231.76,2.44,71.99,52.59,92.62,17.89
iPhone 14,East,WH_2,2025-06-03,Home Essentials,Sustainable Packaging,31129.32,22882.9,8246.419999999998,36.04,150.82,1963,16.2,47961.66,7641.63,2870.42,507.35,17.68,Low,4.99,Critical,89.34,1.66,79.73,640.3,0.33,48.68,31.53,62.21,11.18
Samsung Galaxy S22,South,WH_1,2025-06-28,Electronics,Warehouse Automation,44428.99,31935.31,12493.679999999997,39.12,253.86,4877,7.15,88522.38,7994.95,5825.57,588.76,10.11,Low,9.09,Watchlist,98.07,5.23,74.74,1604.32,0.33,47.65,39.38,81.95,11.36
Barbie Doll,East,WH_3,2025-05-04,Electronics,Demand Forecasting,31348.51,20069.31,11279.199999999997,56.2,291.66,2518,5.33,39143.51,12790.49,8520.31,439.81,5.16,High,8.0,Stable,98.2,5.6,94.99,2757.34,1.1,82.06,21.51,90.1,8.29
Hot Wheels Car,East,WH_2,2025-06-21,Electronics,Green Logistics,13548.03,11741.07,1806.960000000001,15.39,26.35,3088,15.99,13010.87,3171.73,6607.1,1318.09,19.95,Low,2.81,Critical,97.71,3.51,85.05,1181.32,0.38,33.16,55.7,97.21,19.51
Samsung Galaxy S22,East,WH_2,2025-04-25,Consumer Goods,Demand Forecasting,96985.02,84120.05,12864.970000000001,15.29,364.87,3355,19.51,238829.49,12459.64,7949.73,1654.63,20.81,Low,3.38,Stable,91.59,5.2,29.84,1961.4,0.58,85.79,57.01,55.42,8.51
Hot Wheels Car,South,WH_2,2025-06-10,Consumer Goods,Demand Forecasting,68431.55,12400.94,56030.61,451.83,32.22,404,9.57,1245.72,8404.12,2846.65,647.48,22.75,Low,4.5,Watchlist,94.72,5.59,98.38,1547.82,3.83,79.38,17.73,70.74,6.49
Tomato Ketchup,West,WH_1,2025-05-07,Fashion,Green Logistics,49904.48,47684.19,2220.290000000001,4.66,429.17,913,19.71,77230.13,6775.35,18132.23,3245.04,17.9,Low,4.58,Stable,99.04,6.72,94.73,729.18,0.8,36.97,41.97,98.55,5.76
Barbie Doll,South,WH_4,2025-06-07,Electronics,Green Logistics,62774.48,51973.71,10800.770000000004,20.78,124.17,1308,16.83,27334.34,9747.76,6268.22,1547.03,24.68,Low,5.86,Stable,86.59,6.27,73.95,1395.61,1.07,83.07,39.44,50.79,8.98
Wooden Table,West,WH_2,2025-05-25,Consumer Goods,Green Logistics,42583.51,27312.05,15271.460000000003,55.91,231.48,1914,19.18,84977.51,2563.75,15881.31,3547.82,22.34,High,3.71,Critical,98.98,1.83,84.37,1504.04,0.79,74.89,34.51,95.49,6.1
Nike T-Shirt,South,WH_3,2025-06-21,Consumer Goods,Warehouse Automation,62682.82,46078.98,16603.839999999997,36.03,196.64,4993,12.96,127244.33,7898.3,12503.11,873.16,6.98,High,2.03,Critical,94.44,5.73,91.63,1037.56,0.21,56.12,21.42,66.95,11.8
Adidas Sneakers,North,WH_2,2025-06-09,Fashion,Demand Forecasting,43687.09,10905.16,32781.92999999999,300.61,462.26,649,6.37,19110.43,3109.74,9205.65,1831.17,19.89,Medium,8.31,Critical,85.87,6.76,86.85,2175.03,3.35,52.86,53.68,97.06,11.34
Nike T-Shirt,North,WH_3,2025-05-04,Fashion,Sustainable Packaging,62012.67,17128.81,44883.86,262.04,331.8,1937,17.71,113821.57,6551.48,11569.04,844.27,7.3,Medium,6.17,Watchlist,97.25,6.86,94.55,2033.93,1.05,71.42,11.31,96.45,17.44
Hot Wheels Car,South,WH_3,2025-05-12,Fashion,Last-Mile Optimization,10549.52,9827.32,722.2000000000007,7.35,287.5,3383,6.04,58745.8,11632.6,19464.4,1330.42,6.84,High,2.94,Watchlist,91.58,2.37,79.35,1310.96,0.39,95.31,39.81,94.17,7.33
Wooden Table,North,WH_2,2025-06-14,Consumer Goods,Last-Mile Optimization,53709.55,26531.77,27177.780000000002,102.43,143.85,4297,6.71,41476.08,7588.88,6381.68,1185.06,18.57,Medium,5.74,Watchlist,85.66,3.67,87.98,519.22,0.12,44.11,20.56,56.86,8.83
Sony Headphones,North,WH_4,2025-04-13,Home Essentials,Demand Forecasting,57932.41,17180.31,40752.100000000006,237.2,283.77,3001,6.08,51776.9,13202.94,1803.74,96.95,5.37,Low,8.76,Critical,91.22,3.72,89.2,1223.79,0.41,52.4,58.31,58.59,19.21
Barbie Doll,East,WH_3,2025-04-08,Consumer Goods,Demand Forecasting,49210.89,22704.24,26506.649999999998,116.75,48.54,2641,16.19,20754.63,4880.44,15803.24,1031.57,6.53,High,2.03,Critical,87.81,5.77,80.53,2895.56,1.1,71.64,17.38,55.14,8.84
LEGO Set,South,WH_4,2025-06-16,Consumer Goods,Warehouse Automation,51755.78,31357.89,20397.89,65.05,293.94,4724,14.64,203287.02,14824.92,7140.96,1743.78,24.42,Medium,2.36,Stable,91.8,4.97,93.89,1978.55,0.42,48.16,13.71,73.09,5.56
Corn Flakes,East,WH_4,2025-06-17,Consumer Goods,Green Logistics,44603.42,27983.03,16620.39,59.39,477.57,436,11.75,24465.91,12527.61,13384.91,1529.97,11.43,Medium,5.51,Stable,91.53,5.96,95.12,2955.96,6.78,26.75,42.31,51.96,15.61
Hot Wheels Car,South,WH_3,2025-05-13,Fashion,Last-Mile Optimization,46789.25,19140.11,27649.14,144.46,302.96,2841,5.99,51556.49,3228.58,13889.21,1483.78,10.68,High,8.66,Critical,97.66,3.33,87.48,853.57,0.3,47.99,58.38,84.92,10.88
IKEA Chair,North,WH_4,2025-06-26,Fashion,Sustainable Packaging,39562.89,9416.92,30145.97,320.13,354.39,4412,6.4,100068.4,10715.93,10661.28,571.94,5.36,Medium,2.62,Stable,89.96,5.71,75.76,2999.94,0.68,32.4,24.79,89.41,12.62
Sony Headphones,North,WH_1,2025-06-13,Fashion,Sustainable Packaging,23882.75,8414.87,15467.88,183.82,349.49,1456,15.82,80501.25,2568.0,7921.69,1536.15,19.39,Medium,6.5,Critical,96.37,2.79,77.18,2913.99,2.0,82.75,55.2,59.7,15.17
LEGO Set,West,WH_2,2025-05-17,Home Essentials,Last-Mile Optimization,57471.38,55701.42,1769.9599999999991,3.18,410.28,1233,18.1,91563.42,2678.34,10131.22,1258.73,12.42,Low,7.4,Critical,97.34,3.07,92.89,1181.98,0.96,92.42,17.37,71.87,19.2
IKEA Chair,West,WH_1,2025-04-13,Fashion,Green Logistics,55180.64,16831.49,38349.149999999994,227.84,497.32,3171,8.37,131995.04,6142.9,2882.58,556.17,19.29,Medium,8.12,Stable,85.56,6.55,84.17,10311.12,0.81,80.71,33.46,80.77,18.59
LEGO Set,South,WH_2,2025-05-08,Home Essentials,Green Logistics,37103.61,6532.93,30570.68,467.95,215.71,3844,5.94,49253.84,12876.94,10496.76,1650.2,15.72,High,5.64,Stable,95.42,3.1,70.05,1382.04,0.36,65.65,19.37,83.41,12.85
iPhone 14,North,WH_2,2025-06-13,Home Essentials,Demand Forecasting,98293.55,28663.93,69629.62,242.92,17.96,653,10.17,1192.73,11528.23,12936.88,2643.01,20.43,High,7.81,Stable,85.64,4.5,94.41,937.72,1.44,82.33,33.23,84.77,14.48
Nike T-Shirt,North,WH_2,2025-04-02,Home Essentials,Green Logistics,81199.83,72497.08,8702.75,12.0,164.64,2640,12.73,55330.89,14858.6,11317.58,1139.26,10.07,High,2.72,Watchlist,97.5,1.76,89.67,1183.04,0.45,83.95,31.85,70.0,11.6
